,Actual,Prediction,Difference
0,12.36,12.52,-0.16020454406738338
1,12.36,12.58,-0.21636833190918026
2,12.36,12.62,-0.26461757659912166
3,12.36,12.66,-0.29847778320312557
4,12.36,12.67,-0.3144108200073248
5,12.32,12.66,-0.34074085235595675
6,12.32,12.62,-0.3000962066650388
7,12.28,12.56,-0.28031799316406314
8,12.28,12.49,-0.21020099639892642
9,12.36,12.42,-0.05733741760253963
10,12.36,12.35,0.012690887451171307
11,12.36,12.28,0.07631050109863224
12,12.36,12.23,0.1316941833496088
13,12.36,12.18,0.17831359863281193
14,12.36,12.15,0.21095500946044865
15,12.36,12.13,0.22531543731689396
16,12.36,12.14,0.2196887588500971
17,12.36,12.17,0.19497810363769474
18,12.36,12.21,0.15398918151855412
19,12.36,12.26,0.10058341979980412
20,12.36,12.32,0.038918838500975994
21,12.36,12.39,-0.02708686828613338
22,12.4,12.46,-0.05973014831542933
23,12.48,12.54,-0.06158687591552692
24,12.48,12.63,-0.15357353210449176
25,12.48,12.73,-0.2547135543823238
26,12.44,12.84,-0.40258365631103565
27,12.44,12.95,-0.5140243148803716
28,12.44,13.04,-0.5975003814697271
29,12.44,13.1,-0.6579804992675786
30,12.48,13.15,-0.670234222412109
31,12.52,13.21,-0.6938814926147465
32,12.56,13.3,-0.7431988143920893
33,12.56,13.42,-0.8646149063110347
34,12.56,13.58,-1.0175709152221675
35,12.56,13.75,-1.1850895309448237
36,12.56,13.91,-1.3486389541625972
37,12.52,14.05,-1.5339226531982426
38,12.48,14.17,-1.692512054443359
39,12.44,14.26,-1.8213220214843755
40,12.32,14.32,-1.9955755996704099
41,12.32,14.34,-2.0192448425292966
42,12.32,14.34,-2.0194489288330075
43,12.32,14.32,-2.003771476745605
44,12.32,14.3,-1.9788557815551755
45,12.32,14.27,-1.9498707580566403
46,12.32,14.24,-1.9204632568359372
47,12.32,14.21,-1.8929364013671872
48,12.32,14.19,-1.8685375976562497
49,12.36,14.17,-1.8077541732788092
50,12.4,14.15,-1.750581359863281
51,12.44,14.14,-1.696698722839356
52,12.44,14.13,-1.6856504058837896
53,12.44,14.12,-1.6769414520263677
54,12.44,14.11,-1.6700950241088872
55,12.44,14.1,-1.6646886444091802
56,12.44,14.1,-1.6603723144531255
57,12.48,14.1,-1.6168704223632808
58,12.52,14.09,-1.573967437744141
59,12.56,14.09,-1.5315050506591792
60,12.6,14.09,-1.4893764495849613
61,12.64,14.09,-1.447504386901855
62,12.72,14.09,-1.3658364105224603
63,12.6,14.08,-1.4843410491943363
64,12.72,14.08,-1.3572991180419915
65,12.92,14.06,-1.1395273971557618
66,13.08,14.03,-0.948247833251953
67,13.24,13.98,-0.7432935333251951
68,13.4,13.93,-0.5264430999755856
69,13.56,13.86,-0.300641479492187
70,13.64,13.79,-0.14926753997802678
71,13.72,13.69,0.026818962097168608
72,13.8,13.55,0.24515132904052805
73,13.88,13.4,0.48106849670410234
74,13.92,13.26,0.6630715560913085
75,13.92,13.15,0.7665328216552734
76,13.96,13.1,0.8578919982910165
77,14.0,13.11,0.8939666748046875
78,14.04,13.16,0.8792953872680656
79,14.08,13.26,0.8230753707885743
80,14.12,13.38,0.7365218353271477
81,14.16,13.53,0.6308728790283205
82,14.16,13.68,0.4819099044799806
83,14.16,13.82,0.34302822113037124
84,14.16,13.94,0.22312751770019545
85,14.16,14.03,0.1265479660034181
86,14.16,14.09,0.06535163879394545
87,14.16,14.12,0.03668609619140639
88,14.36,14.12,0.23811756134033146
89,14.32,14.11,0.21453697204589872
90,14.28,14.09,0.19056537628173764
91,14.2,14.08,0.11512107849121023
92,14.12,14.1,0.022314186096190625
93,14.04,14.13,-0.0892486190795907
94,13.96,14.18,-0.21779827117919837
95,13.96,14.23,-0.2739973449707023
96,13.96,14.29,-0.33403591156005774
97,13.96,14.34,-0.3846302413940421
98,13.96,14.37,-0.41426853179931555
99,13.92,14.38,-0.456485824584961
100,13.92,14.35,-0.4300070571899415
101,13.88,14.3,-0.4175006103515617
102,13.84,14.22,-0.38405815124511733
103,13.8,14.14,-0.3357765197753899
104,13.76,14.04,-0.2843668365478518
105,13.72,13.96,-0.2403929519653314
106,13.52,13.89,-0.3709864425659184
107,13.32,13.83,-0.5139538574218747
108,13.36,13.78,-0.42454494476318416
109,13.4,13.73,-0.327072715759277
110,13.44,13.66,-0.2194848632812505
111,13.48,13.59,-0.10508300781249957
112,13.52,13.51,0.011279602050780824
113,13.56,13.42,0.136339721679688
114,13.6,13.33,0.265889739990234
115,13.64,13.25,0.3875967407226568
116,13.68,13.19,0.4903790283203122
117,13.68,13.15,0.5275742340087888
118,13.68,13.14,0.5372425842285153
119,13.68,13.16,0.521198921203613
120,13.68,13.2,0.4836289215087888
121,13.6,13.25,0.34985122680664027
122,13.6,13.31,0.28533515930175746
123,13.56,13.38,0.1750512695312505
124,13.64,13.46,0.18313087463378963
125,13.72,13.53,0.19274780273437564
126,13.8,13.59,0.20612888336181712
127,13.88,13.66,0.22467315673828203
128,13.96,13.71,0.24910923004150476
129,14.04,13.76,0.2796583557128898
130,14.08,13.8,0.27618225097656257
131,14.32,13.84,0.4782975387573245
132,14.48,13.87,0.6055235671997075
133,14.4,13.9,0.49731864929199254
134,14.32,13.93,0.3930924606323245
135,14.24,13.95,0.2923033142089846
136,14.16,13.97,0.19447341918945327
137,14.08,13.98,0.09916599273681648
138,14.0,13.99,0.006011009216308594
139,13.96,14.01,-0.04530910491943274
140,13.92,14.02,-0.0950642395019532
141,13.88,14.02,-0.1434813690185539
142,13.84,14.03,-0.19075313568115249
143,13.8,14.02,-0.22001380920410085
144,13.68,14.0,-0.3185647201538089
145,13.64,13.97,-0.3332637405395502
146,13.68,13.95,-0.2695248794555667
147,13.64,13.93,-0.2907508468627924
148,13.56,13.92,-0.35855716705322216
149,13.48,13.91,-0.4331488800048824
150,13.44,13.91,-0.47384029388427784
151,13.4,13.92,-0.5194717407226559
152,13.36,13.93,-0.5687033081054693
153,13.32,13.95,-0.6259676742553708
154,13.28,13.98,-0.6953665924072272
155,13.28,14.02,-0.7388112258911139
156,13.24,14.08,-0.8358361816406248
157,13.28,14.15,-0.8699671936035163
158,13.32,14.24,-0.9174315261840817
